Ticker,Company
14D.AX,1414 Degrees Limited
1AD.AX,Adalta Limited
1AG.AX,Alterra Limited
1ST.AX,1st Available Ltd
1VG.AX,Victory Goldfields Limited
29M.AX,29metals Limited
2BE.AX,Tubi Limited
2BEO.AX,2BEO
360.AX,Life360 Inc.
3DA.AX,Amaero International Ltd
3DP.AX,Pointerra Limited
3MF.AX,3d Metalforge Limited
3PL.AX,3p Learning Limited..
4DS.AX,4ds Memory Limited
4DX.AX,4dmedical Limited
5GG.AX,Pentanet Limited
5GN.AX,5g Networks Limited
88E.AX,88 Energy Limited
8CO.AX,8common Limited
8IH.AX,8i Holdings Ltd
8VI.AX,8vic Holdings Limited
92E.AX,92 Energy Limited
99L.AX,99 Loyalty Limited.
9SP.AX,9 Spokes International Limited
A1G.AX,African Gold Limited
A1M.AX,Aic Mines Limited
A200.AX,A200
A2B.AX,A2b Australia Limited
A2M.AX,The A2 Milk Company Limited
A2MKOV.AX,A2MKOV
A3D.AX,Aurora Labs Limited
A4N.AX,Alpha Hpa Limited
A8G.AX,Australasian Gold Limited
AAA.AX,Betashares Australian High Interest Cash
AAC.AX,Australian Agricultural Company Ltd
AAJ.AX,Aruma Resources Limited
AAP.AX,Australian Agricultural Projects Limited
AAR.AX,Anglo Australian Resources NL
AASF.AX,AASF
AAU.AX,Adcorp Australia Ltd
AAUOB.AX,AAUOB
ABA.AX,Auswide Bank Ltd
ABB.AX,ABB Grain Ltd
ABC.AX,Adelaide Brighton Ltd
ABCKOR.AX,ABCKOR
ABL.AX,Abilene Oil And Gas Limited
ABP.AX,Abacus Property Group
ABR.AX,American Pacific Borate & Lithium Limited
ABV.AX,Advanced Braking Technology Ltd
ABX.AX,Abelle Ltd
ABY.AX,Aditya Birla Minerals Ltd
AC8.AX,Auscann Group Holdings Ltd
ACB.AX,A-Cap Resources Ltd
ACBR.AX,ACBR
ACDC.AX,Etfs Battery Tech & Lithium
ACF.AX,Acumen Capital Property Securities Fund
ACL.AX,Alchemia Ltd
ACP.AX,Audalia Resources Limited
ACQ.AX,Acorn Capital Investment Fund Limited
ACR.AX,Acrux Ltd
ACS.AX,Accent Resources NL
ACU.AX,Acuvax Limited
ACW.AX,Actinogen Ltd
AD1.AX,Applydirect Limited
AD8.AX,Audinate Group Limited
ADA.AX,Adacel Technologies Ltd
ADD.AX,Adavale Resources Ltd
ADEF.AX,ADEF
ADH.AX,Adairs Limited
ADI.AX,Adelphi Energy Ltd
ADN.AX,Adelaide Resources Ltd
ADOOA.AX,Anteo Diagnostics Limited
ADR.AX,Adherium Limited
ADS.AX,ADV Group Ltd
ADT.AX,Advent Ltd
ADV.AX,Australian Development Capital Fund
ADX.AX,Audax Resources Ltd
ADY.AX,Admiralty Resources NL
AE1.AX,Aerison Group Ltd
AEE.AX,Aura Energy Ltd
AEF.AX,Australian Ethical Investments Ltd
AEG.AX,Absolute Equity Performance Fund Limited
AEI.AX,Aeris Technologies Ltd
AER.AX,Aeeris Ltd
AEV.AX,Avenira Limited
AFA.AX,ASF Group Ltd
AFG.AX,Allco Finance Group Ltd
AFI.AX,Australian Foundation Invest Ltd
AFL.AX,Australian Pure Fruits Ltd
AFP.AX,Aft Pharmaceuticals Limited
AFR.AX,African Energy Resources (Guernsey) Ltd
AFW.AX,Applyflow Limited
AGC.AX,Agincourt Resources Ltd
AGD.AX,Austral Gold Ltd
AGE.AX,Alligator Energy Limited
AGEOB.AX,AGEOB
AGG.AX,Anglogold Ashanti Ltd (Sth Afr CUFS)
AGH.AX,Australian Growth Properties
AGI.AX,Ainsworth Game Technology Ltd
AGJ.AX,Agricultural Land Trust
AGL.AX,AGL Energy Limited
AGN.AX,Argenica Therapeutics Limited
AGR.AX,Aguia Resources Limited
AGRO.AX,AGRO
AGS.AX,Alliance Resources Ltd
AGVT.AX,AGVT
AGX1.AX,AGX1
AGY.AX,Argosy Minerals Inc (CUFS)
AGYO.AX,Argosy Minerals Limited
AHC.AX,AHC Ltd
AHF.AX,Australian Dairy Farms Group
AHI.AX,Allco Hit Ltd
AHK.AX,Ark Mines Limited
AHN.AX,Athena Resources Ltd
AHQ.AX,Allegiance Coal Limited
AHX.AX,Apiam Animal Health Limited
AIA.AX,Auckland International Airport Ltd
AIB.AX,Aurora Infrastructure Buy Write Income Trust
AII.AX,ABRA Mining Ltd
AIM.AX,Aim Resources Ltd
AIQ.AX,Alternative Investment Trust
AIR.AX,Astivita Renewables Limited
AIS.AX,Automotive Industrial & Mining Supplies
AIV.AX,Activex Ltd
AIY.AX,Authorised Investment Fund Ltd
AIZ.AX,Air New Zealand Ltd
AJJ.AX,Asian Centre For Liver Diseases And Transplantation Limited
AJL.AX,AJ Lucas Group Ltd
AJM.AX,Altura Mining Limited
AJQ.AX,Armour Energy Limited
AJQOA.AX,AJQOA
AJX.AX,Alexium International Group Limited
AJY.AX,Asaplus Resources Limited
AKG.AX,AKG
AKL.AX,Auckland Real Estate Trust
AKM.AX,Aspire Mining Limited
AKN.AX,Auking Mining Limited
AKNO.AX,AKNO
AKO.AX,Akora Resources Limited
AKP.AX,Audio Pixels Holdings Limited
AL3.AX,Aml3d Limited
AL8.AX,Alderan Resources Limited
ALB.AX,Albidon Ltd
ALBO.AX,ALBO
ALC.AX,Alcidion Group Limited
ALD.AX,Allied Gold Ltd
ALDKOA.AX,ALDKOA
ALDKOB.AX,ALDKOB
ALDKOC.AX,ALDKOC
ALDKOP.AX,ALDKOP
ALDKOR.AX,ALDKOR
ALDKOS.AX,ALDKOS
ALG.AX,Applied Learning Ltd t/over
ALGKOP.AX,ALGKOP
ALGKOR.AX,Ardent Leisure Group Limited
ALI.AX,Argo Global Listed Infrastructure Limited
ALK.AX,Alkane Exploration Ltd
ALL.AX,Aristocrat Leisure Ltd
ALLKOA.AX,Aristocrat Leisure Limited
ALLKOB.AX,Aristocrat Leisure Limited
ALLKOC.AX,Aristocrat Leisure Limited
ALLKOE.AX,Aristocrat Leisure Limited
ALLKOG.AX,Aristocrat Leisure Limited
ALLKOQ.AX,Aristocrat Leisure Limited
ALLKOR.AX,Aristocrat Leisure Limited
ALLKOT.AX,Aristocrat Leisure Limited
ALQ.AX,Als Limited
ALQKOA.AX,Als Limited
ALQKOD.AX,Als Limited
ALQKOE.AX,Als Limited
ALQKOF.AX,Als Limited
ALQKOP.AX,Als Limited
ALQKOQ.AX,Als Limited
ALQKOR.AX,Als Limited
ALQKOS.AX,Als Limited
ALT.AX,Analytica Ltd
ALU.AX,Altium Ltd
ALUKOA.AX,Altium Limited
ALUKOB.AX,Altium Limited
ALX.AX,Allstate Explorations NL
ALXKOB.AX,Atlas Arteria
ALXKOQ.AX,Atlas Arteria
ALXKOR.AX,Atlas Arteria
ALXKOS.AX,Atlas Arteria
ALY.AX,Alchemy Resources Ltd
AM7.AX,Arcadia Minerals Limited
AMA.AX,Allomak Ltd
AMC.AX,Amcor Ltd
AMCKOA.AX,Amcor Limited
AMCKOB.AX,Amcor Limited
AMCKOG.AX,Amcor Plc
AMCKOP.AX,Amcor Limited
AMCKOS.AX,Amcor Limited
AMCKOT.AX,Amcor Limited
AMD.AX,Arrow Minerals Ltd
AME.AX,Austmet Resources Ltd
AMH.AX,AMCIL Ltd
AMI.AX,Aurelia Metals Limited
AML.AX,AMRAD Corporation Ltd
AMN.AX,Agrimin Limited
AMO.AX,Ambertech Ltd
AMP.AX,AMP Ltd
AMPKOA.AX,Amp Limited
AMPKOB.AX,Amp Limited
AMPKOC.AX,Amp Limited
AMPKOD.AX,Amp Limited
AMPKOG.AX,Amp Limited
AMPKOR.AX,Amp Limited
AMPKOS.AX,Amp Limited
AMPKOT.AX,Amp Limited
AMPKOV.AX,Amp Limited
AMPLOA.AX,Amp Limited
AMPLOQ.AX,Amp Limited
AMPLOR.AX,Amp Limited
AMPLOU.AX,Amp Limited
AMPLOV.AX,Amp Limited
AMPPA.AX,Amp Limited
AMPPB.AX,Amp Limited
AMS.AX,Allied Mining & Processing Nl
AMT.AX,Advanced Surgical Design & Manufacture Ltd
AMX.AX,Ampella Mining Ltd
AND.AX,Andean Resources Ltd
ANG.AX,Austin Engineering Ltd
ANL.AX,Anaconda Nickel Nl
ANLOA.AX,ANLOA
ANN.AX,Ansell Ltd
ANNKOC.AX,Ansell Limited
ANNKOQ.AX,Ansell Limited
ANO.AX,Advanced Nanotechnology Ltd
ANP.AX,Antisense Therapeutics Ltd
ANR.AX,Anatara Lifesciences Ltd
ANW.AX,Ausnico Limited
ANX.AX,Anadis Ltd
ANZ.AX,Australia & NZ Banking Group Ltd
ANZKOA.AX,Australia And New Zealand Banking Group Limited
ANZKOD.AX,Australia And New Zealand Banking Group Limited
ANZKOE.AX,Australia And New Zealand Banking Group Limited
ANZKOG.AX,Australia And New Zealand Banking Group Limited
ANZKOL.AX,Australia And New Zealand Banking Group Limited
ANZKOO.AX,Australia And New Zealand Banking Group Limited
ANZKOP.AX,Australia And New Zealand Banking Group Limited
ANZKOX.AX,Australia And New Zealand Banking Group Limited
ANZLOB.AX,Australia And New Zealand Banking Group Limited
ANZLOC.AX,Australia And New Zealand Banking Group Limited
ANZLOP.AX,Australia And New Zealand Banking Group Limited
ANZLOQ.AX,Australia And New Zealand Banking Group Limited
ANZLOR.AX,Australia And New Zealand Banking Group Limited
ANZLOS.AX,Australia And New Zealand Banking Group Limited
ANZLOT.AX,Australia And New Zealand Banking Group Limited
ANZLOW.AX,Australia And New Zealand Banking Group Limited
ANZMOA.AX,Australia And New Zealand Banking Group Limited
ANZMOB.AX,Australia And New Zealand Banking Group Limited
ANZMOQ.AX,Australia And New Zealand Banking Group Limited
ANZMOR.AX,Australia And New Zealand Banking Group Limited
ANZMOS.AX,Australia And New Zealand Banking Group Limited
