Ticker,Company,Sector
ABB.BO,ABB India Limited,Heavy Electrical Equipment
AEGISLOG.BO,AEGIS LOGISTICS LTD.,Oil Marketing & Distribution
AMARAJABAT.BO,AMARA RAJA BATTERIES LTD.,Auto Parts & Equipment
AMBALALSA.BO,AMBALAL SARABHAI ENTERPRISES LTD.,Pharmaceuticals
HDFC.BO,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Housing Finance 
ANDHRAPET.BO,ANDHRA PETROCHEMICALS LTD.,Commodity Chemicals
ANSALAPI.BO,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Realty
UTIQUE.BO,Utique Enterprises Ltd,Finance (including NBFCs)
ARUNAHTEL.BO,ARUNA HOTELS LTD.,Hotels
BOMDYEING.BO,BOMBAY DYEING & MFG.CO.LTD.,Textiles
ASIANHOTNR.BO,Asian Hotels (North) Limited,Hotels
ATUL.BO,ATUL LTD.,Specialty Chemicals
ATVPR.BO,ATV PROJECTS INDIA LTD.,Construction & Engineering
BAJAJELEC.BO,BAJAJ ELECTRICALS LTD.-$,Household Appliances
BAJAJHIND.BO,Bajaj Hindusthan Sugar Limited,Sugar
FORCEMOT.BO,FORCE MOTORS LTD.-$,Cars & Utility Vehicles
BAJFINANCE.BO,Bajaj Finance Limited,Finance (including NBFCs)
BALRAMCHIN*.BO,BALRAMPUR CHINI MILLS LTD.,Sugar
BANCOINDIA.BO,BANCO PRODUCTS (INDIA) LTD.-$,Auto Parts & Equipment
CENTURYTEX.BO,CENTURY TEXTILES & INDUSTRIES LTD.,Paper & Paper Products
BANARISUG.BO,BANNARI AMMAN SUGARS LTD.,Sugar
BASF.BO,BASF INDIA LTD.,Specialty Chemicals
BATAINDIA.BO,BATA INDIA LTD.,Footwear
BEML.BO,BEML LTD.,Commercial Vehicles
BEL.BO,BHARAT ELECTRONICS LTD.,Defence
BEPL.BO,BHANSALI ENGINEERING POLYMERS LTD.-$,Specialty Chemicals
TATASTLBSL.BO,Tata Steel Bsl Ltd,Iron & Steel/Interm.Products
BIHSPONG.BO,BIHAR SPONGE IRON LTD.,Iron & Steel/Interm.Products
BIRLACABLE.BO,Birla Cable Ltd,Other Elect.Equip./ Prod.
BLUESTARCO.BO,BLUE STAR LTD.,Consumer Electronics
DISAQ.BO,DISA INDIA LTD.,Industrial Machinery
BNKCAP.BO,BNK CAPITAL MARKETS LTD.,Other Financial Services
BPL.BO,BPL LTD.,Consumer Electronics
OAL.BO,Oriental Aromatics Ltd-$,Specialty Chemicals
CENTEXT.BO,CENTURY EXTRUSIONS LTD.,Aluminium
CESC.BO,CESC LTD.,Electric Utilities
CHAMBLFERT.BO,CHAMBAL FERTILISERS & CHEMICALS LTD.,Fertilizers
EXIDEIND.BO,EXIDE INDUSTRIES LTD.,Auto Parts & Equipment
CIPLA.BO,CIPLA LTD.,Pharmaceuticals
DICIND.BO,DIC INDIA LTD.,Specialty Chemicals
CRISIL.BO,CRISIL LTD.,Other Financial Services
CGPOWER.BO,CG Power and Industrial Solutions Ltd,Heavy Electrical Equipment
DABUR.BO,DABUR INDIA LTD.,Personal Products
DALMIASUG.BO,Dalmia Bharat Sugar and Industries Ltd,Sugar
ARVIND.BO,ARVIND LTD.,Textiles
BALLARPUR.BO,BALLARPUR INDUSTRIES LTD.,Paper & Paper Products
BHEL.BO,BHARAT HEAVY ELECTRICALS LTD.,Heavy Electrical Equipment
HINDPETRO.BO,HINDUSTAN PETROLEUM CORPORATION LTD.,Refineries/ Petro-Products
IFCI.BO,IFCI LTD.,Financial Institutions
MTNL.BO,MAHANAGAR TELEPHONE NIGAM LTD.,Telecom Services
MRPL.BO,MANGALORE REFINERY & PETROCHEMICALS LTD.,Refineries/ Petro-Products
CHENNPETRO.BO,CHENNAI PETROLEUM CORPORATION LTD.,Refineries/ Petro-Products
RELCAPITAL.BO,RELIANCE CAPITAL LTD.,Finance (including NBFCs)
SBIN.BO,STATE BANK OF INDIA,Banks
SAIL.BO,STEEL AUTHORITY OF INDIA LTD.,Iron & Steel/Interm.Products
TITAN.BO,Titan Company Limited,Other Apparels & Accessories
IDBI.BO,IDBI BANK LTD.,Banks
DCW.BO,DCW LTD.,Commodity Chemicals
DHAMPURSUG.BO,DHAMPUR SUGAR MILLS LTD.,Sugar
DIAMINESQ.BO,DIAMINES & CHEMICALS LTD.-$,Specialty Chemicals
ELANTAS.BO,ELANTAS BECK INDIA LTD.-$,Commodity Chemicals
DRREDDY.BO,DR.REDDY'S LABORATORIES LTD.,Pharmaceuticals
EIDPARRY.BO,E.I.D.-PARRY (INDIA) LTD.,Sugar
PGHL.BO,Procter & Gamble Health Ltd,Pharmaceuticals
ELECTCAST.BO,ELECTROSTEEL CASTINGS LTD.,Other Industrial Products
ESABINDIA.BO,ESAB INDIA LTD.,Other Industrial Goods
EPL.BO,EPL Ltd,Containers & Packaging
