Company,Ticker,Exchange,Currency
1000MERCIS,ALMIL.PA,Euronext Growth Paris,EUR
2CRSI,2CRSI.PA,Euronext Paris,EUR
2MX ORGANIC,2MX.PA,Euronext Paris,EUR
2MX ORGANIC BS,2MXBS.PA,Euronext Paris,EUR
A TOUTE VITESSE,MLATV.PA,Euronext Access Paris,EUR
A.S.T. GROUPE,ASP.PA,Euronext Paris,EUR
AALBERTS NV,AALB.PA,Euronext Amsterdam,EUR
AB INBEV,ABI.PA,Euronext Brussels,EUR
AB SCIENCE,AB.PA,Euronext Paris,EUR
ABC ARBITRAGE,ABCA.PA,Euronext Paris,EUR
ABEO,ABEO.PA,Euronext Paris,EUR
ABIONYX PHARMA,ABNX.PA,Euronext Paris,EUR
ABIVAX,ABVX.PA,Euronext Paris,EUR
ABN AMRO BANK N.V.,ABN.PA,Euronext Amsterdam,EUR
ACACIA PHARMA,ACPH.PA,Euronext Brussels,EUR
ACANTHE DEV.,ACAN.PA,Euronext Paris,EUR
ACCELL GROUP,ACCEL.PA,Euronext Amsterdam,EUR
ACCENTIS,ACCB.PA,Euronext Brussels,EUR
ACCOR,AC.PA,Euronext Paris,EUR
ACCOR AC SHARES,AAC.PA,Euronext Paris,EUR
ACCOR AC WARRANTS,AACW.PA,Euronext Paris,EUR
ACCOR NV21,ACNV.PA,Euronext Paris,EUR
ACCSYS,AXS.PA,Euronext Amsterdam,EUR
ACHETER-LOUER.FR,ALALO.PA,Euronext Growth Paris,EUR
ACKERMANS V.HAAREN,ACKB.PA,Euronext Brussels,EUR
ACTEOS,EOS.PA,Euronext Paris,EUR
ACTIA GROUP,ATI.PA,Euronext Paris,EUR
ACTIVIUM GROUP,MLACT.PA,Euronext Access Paris,EUR
ADA,ALADA.PA,Euronext Growth Paris,EUR
ADC SIIC,ALDV.PA,Euronext Paris,EUR
ADEUNIS,ALARF.PA,Euronext Growth Paris,EUR
ADOCIA,ADOC.PA,Euronext Paris,EUR
ADOMOS,ALADO.PA,Euronext Growth Paris,EUR
ADP,ADP.PA,Euronext Paris,EUR
ADTHINK,ALADM.PA,Euronext Growth Paris,EUR
ADVENIS,ALADV.PA,Euronext Growth Paris,EUR
ADVINI,ADVI.PA,Euronext Paris,EUR
ADYEN,ADYEN.PA,Euronext Amsterdam,EUR
AEGON,AGN.PA,Euronext Amsterdam,EUR
AERKOMM INC,AKOM.PA,Euronext Paris,EUR
AFFLUENT MEDICAL,AFME.PA,Euronext Paris,EUR
AFYREN,ALAFY.PA,Euronext Growth Paris,EUR
AG3I,MLAGI.PA,Euronext Access Paris,EUR
AGEAS,AGS.PA,Euronext Brussels,EUR
AGFA-GEVAERT,AGFB.PA,Euronext Brussels,EUR
AGP MALAGA SOCIMI,MLAGP.PA,Euronext Access Paris,EUR
AGRIPOWER,ALAGP.PA,Euronext Growth Paris,EUR
AGROGENERATION,ALAGR.PA,Euronext Growth Paris,EUR
AGUAS DA CURIA,CUR.PA,Euronext Access Lisbon,EUR
AIB GROUP PLC,A5G.PA,Euronext Dublin,EUR
AIR LIQUIDE,AI.PA,Euronext Paris,EUR
AIR MARINE,MLAIM.PA,Euronext Access Paris,EUR
AIRBUS,AIR.PA,Euronext Paris,EUR
AIRTIME,ALAIR.PA,Euronext Growth Paris,EUR
AIRWELL,MLAIR.PA,Euronext Access Paris,EUR
AJAX,AJAX.PA,Euronext Amsterdam,EUR
AKWEL,AKW.PA,Euronext Paris,EUR
AKZO NOBEL,AKZA.PA,Euronext Amsterdam,EUR
ALAN ALLMAN,AAA.PA,Euronext Paris,EUR
ALBIOMA,ABIO.PA,Euronext Paris,EUR
ALCHIMIE,ALCHI.PA,Euronext Growth Paris,EUR
ALD,ALD.PA,Euronext Paris,EUR
ALEPH FINANCE,MLALE.PA,Euronext Access Paris,EUR
ALFEN,ALFEN.PA,Euronext Amsterdam,EUR
ALLFUNDS GROUP,ALLFG.PA,Euronext Amsterdam,EUR
ALMUNDA PRO NV,AMUND.PA,Euronext Amsterdam,EUR
ALPES (Cie) NV21,CDANV.PA,Euronext Paris,EUR
ALPES (COMPAGNIE),CDA.PA,Euronext Paris,EUR
ALPHA M.O.S. DS,ALMDS.PA,Euronext Paris,EUR
ALPHA MOS,ALM.PA,Euronext Paris,EUR
ALSTOM,ALO.PA,Euronext Paris,EUR
ALTAMIR,LTA.PA,Euronext Paris,EUR
ALTAREA,ALTA.PA,Euronext Paris,EUR
ALTAREIT,AREIT.PA,Euronext Paris,EUR
ALTEN,ATE.PA,Euronext Paris,EUR
ALTHEORA,ALORA.PA,Euronext Growth Paris,EUR
ALTRI SGPS,ALTR.PA,Euronext Lisbon,EUR
ALTUR INVEST.,ALTUR.PA,Euronext Paris,EUR
ALUMEXX N.V.,ALX.PA,Euronext Amsterdam,EUR
ALVEEN,MLALV.PA,Euronext Access Paris,EUR
AMA CORPORATION,ALAMA.PA,Euronext Growth Paris,EUR
