Ticker,Company
III.L,3I GRP.
3IN.L,3I INF. ORD
FOUR.L,4IMPRINT GRP.
888.L,888 HLDGS
ABF.L,A.B.FOOD
AA.L,AA PLC
ANII.L,AB NEW INDIA
AAIF.L,ABDN.ASN INC
ABD.L,ABDN.NW.DWN
ADIG.L,ABERDEEN DI&G
ASIT.L,ABERFORTH SPLI.
ASL.L,ABERFTH.SMLL.CO
AAS.L,ABSTD ASIAFOCUS
ASEI.L,ABSTD EQUITYINC
ASLI.L,ABSTD EURO LOG.
ADM.L,ADMIRAL GRP
AEWU.L,AEW UK REIT
AGK.L,AGGREKO
AAF.L,AIRTEL AFRICA
AJB.L,AJ BELL
AEFS.L,ALCENTRA GBP
ALFA.L,ALFA FIN
ATST.L,ALLIANCE TRUST
ATT.L,ALLIANZ TECH
ALM.L,ALLIED MIND
AMGO.L,AMIGO
AAL.L,ANGLO AMERICAN
AEP.L,ANGLO-EASTERN
ANTO.L,ANTOFAGASTA
AO.L,AO WORLD
APAX.L,APAX GLB
APTD.L,APTITUDE
ARW.L,ARROW GLOBAL
ATS.L,ARTEMIS ALPHA
ASAI.L,ASA INT
ASCL.L,ASCENTIAL
ASHM.L,ASHMORE
AHT.L,ASHTEAD GRP.
DGN.L,ASIA DRAGON
AGR.L,ASSURA
AML.L,ASTON MARTIN
AZN.L,ASTRAZENECA
AUTO.L,AUTO TRAD
AVST.L,AVAST
AVV.L,AVEVA GRP
AGT.L,AVI GLOBAL TST
AV..L,AVIVA
AVON.L,AVON RBR.
BME.L,B&M EUROPEAN
BAB.L,BABCOCK INTL
BA.L,BAE SYS.
BGS.L,BAILL.G.SHIN.
BGFD.L,BAILLIE G.JAP.
BGEU.L,BAILLIE GEU
BGUK.L,BAILLIE GIFFORD
USA.L,BAILLIE GIFFORD
BAKK.L,BAKKAVOR
BBY.L,BALFOUR B.
BGEO.L,BANK OF GEORGIA
BNKR.L,BANKERS INV.TST
BARC.L,BARCLAYS
BAG.L,BARR (A.G.)
BDEV.L,BARRATT DEVEL.
BVC.L,BATM ADVANCED
BBH.L,BB HEALTHCARE
BBGI.L,BBGI SICAV
BEZ.L,BEAZLEY
BWY.L,BELLWAY
BKG.L,BERKELEY GP.HLD
BHGG.L,BH GLOBAL ?
BHMG.L,BH MACRO GBP
BHP.L,BHP GROUP
BIFF.L,BIFFA
BYG.L,BIG YELLOW GRP
BIOG.L,BIOTECH GWTH
BRNA.L,BLACKROCK BRNA
BRFI.L,BLACKROCK FR
BRGE.L,BLACKROCK GREAT
BRLA.L,BLACKROCK LAT A
BRSC.L,BLACKROCK SML
BRWM.L,BLACKROCK WLD
BMY.L,BLOOMSBURY PUB.
BSIF.L,BLUEFIELD SOLAR
