Company,Ticker,Sector
4Sight Holdings Limited,4SI.JO,Financial Services
ABSA Bank Limited,ABSP.JO,Banks
Accelerate Property Fund Limited,APF.JO,Real Estate Investment Trusts
Accentuate Limited,ACE.JO,Chemicals
Acsion Limited,ACS.JO,Real Estate Investment & Services
Adapt It Holdings Limited,ADI.JO,Software & Computer Services
Adcock Ingram Holdings Limited,AIP.JO,Pharmaceuticals & Biotechnology
Adcorp Holdings Limited,ADR.JO,Support Services
Adrenna Property Group Limited,ANA.JO,Real Estate Investment & Services
Advanced Health Limited,AVL.JO,Health Care Equipment & Services
Advtech Limited,ADH.JO,General Retailers
AECI Limited,AFE.JO,Chemicals
AEP Energy Africa Limited,AEY.JO,Financial Services
African And Overseas Enterprises Limited,AOO.JO,General Retailers
African Bank Investments Limited,ABL.JO,Financial Services
African Dawn Capital Limited,ADW.JO,Financial Services
African Eagle Resources Plc,AEA.JO,Industrial Metals & Mining
African Equity Empowerment Investments Limited,AEE.JO,Financial Services
African Media Entertainment Limited,AME.JO,Media
African Oxygen Limited,AFX.JO,Chemicals
African Rainbow Minerals Limited,ARI.JO,Industrial Metals & Mining
Afrimat Limited,AFT.JO,Construction & Materials
Afrocentric Investment Corp Limited,ACT.JO,Financial Services
AH-Vest Limited,AHL.JO,Food Producers
Alaris Holdings Limited,ALH.JO,Aerospace & Defense
Alert Steel Holdings Limited,AET.JO,General Retailers
Alexander Forbes Group Holdings Limited,AFH.JO,Financial Services
Allied Electronics Corporation Limited,AEL.JO,Software & Computer Services
Alviva Holdings Limited,PNC.JO,Technology Hardware & Equipment
Amalgamated Electronic Corp Limited,AER.JO,Electronic & Electrical Equipment
Anchor Group Limited,ACG.JO,Financial Services
Andulela Investment Holdings Limited,AND.JO,Industrial Metals & Mining
Anglo American Platinium Limited,AMS.JO,Mining
Anglo American Plc,AGL.JO,Mining
Anglogold Ashanti Limited,ANG.JO,Mining
AB InBev,ANB.JO,Beverages
ARB Holdings Limited,ARH.JO,Support Services
Arcelormittal South Africa Limited,ACL.JO,Industrial Metals & Mining
Argent Industrial Limited,ART.JO,Support Services
Arrowhead Properties Limited,AWA.JO,Real Estate Investment Trusts
Ascendis Health Limited,ASC.JO,Pharmaceuticals & Biotechnology
Ascension Properties Limited,AIA.JO,Real Estate Investment Trusts
Aspen Pharmacare Holdings Limited,APN.JO,Pharmaceuticals & Biotechnology
Assore Limited,ASR.JO,Industrial Metals & Mining
Astoria Investments Limited,ARA.JO,Financial Services
Astral Foods Limited,ARL.JO,Food Producers
Astrapak Limited,APK.JO,General Industrials
Atlantic Leaf Properties Limited,ALP.JO,Real Estate Investment Trusts
Atlatsa Resources Corporation,ATL.JO,Mining
Attacq Limited,ATT.JO,Real Estate Investment & Services
Aveng Limited,AEG.JO,Construction & Materials
AVI Limited,AVI.JO,Food Producers
Avior Capital Markets Holdings Limited,AVR.JO,Software & Computer Services
Awethu Breweries Limited,AWT.JO,Food Producers
AYO Technology Solutions Limited,AYO.JO,Software & Computer Services
Balwin Properties Pty Limited,BWN.JO,Real Estate Investment & Services
Barloworld Limited,BAW.JO,Support Services
Basil Read Holdings Limited,BSR.JO,Construction & Materials
Bauba Platinum Limited,BAU.JO,Mining
Beige Holdings Limited,BEG.JO,Personal Goods
Bell Equipment Limited,BEL.JO,Industrial Engineering
BHP Billiton Plc,BIL.JO,Industrial Metals & Mining
Bid Corp Limited,BID.JO,Health Care Equipment & Services
BK One Limited,BK1P.JO,Financial Services
Blue Financial Services Limited,BFS.JO,Financial Services
Blue Label Telecoms Limited,BLU.JO,Support Services
Bonatla Property Holdings Limited,BNT.JO,Real Estate Investment & Services
Bowler Metcalf Limited,BCF.JO,Chemicals
Brainworks Limited,BWZ.JO,Real Estate Investment & Services
Brikor Limited,BIK.JO,Construction & Materials
Brimstone Investment Corporation Ld,BRT.JO,Financial Services
British American Tobacco Plc,BTI.JO,Tobacco
BSI Steel Limited,BSS.JO,Industrial Metals & Mining
Buffalo Coal Corp,BUC.JO,Mining
Buildmax Limited,BDM.JO,"Oil Equipment, Services & Distribution"
Bytes Technology Group,BYI.JO,Software & Computer Services
CAFCA Limited,CAC.JO,Electronic & Electrical Equipment
Calgro M3 Holdings Limited,CGR.JO,Real Estate Investment & Services
Capevin Holdings Limited,CVH.JO,Beverages
Capital & Counties Properties Plc,CCO.JO,Real Estate Investment & Services
Capital & Regional Plc,CRP.JO,Real Estate Investment Trusts
Capital Appreciation Limited,CTA.JO,Financial Services
Capitec Bank Holdings Limited,CPI.JO,Banks
Cargo Carriers Limited,CRG.JO,Industrial Transportation
Cartrack Holdings Limited,CTK.JO,Technology Hardware & Equipment
Cashbuild Limited,CSB.JO,General Retailers
Castleview Property Fund Limited,CVW.JO,Real Estate Investment & Services
Caxton CTP Publishers & Printers Ltd,CAT.JO,Media
Central Rand Gold Limited,CRD.JO,Mining
Chemical Specialities Limited,CSP.JO,Chemicals
Choppies Enterprises Limited,CHP.JO,General Retailers
Chrometco Limited,CMO.JO,Industrial Metals & Mining
City Lodge Hotels Limited,CLH.JO,Travel & Leisure
Clicks Group Limited,CLS.JO,Food & Drug Retailers
Clientele Limited,CLI.JO,Life Insurance
Clover Industries Limited,CLR.JO,Food Producers
Cognition Holdings Limited,CGN.JO,Fixed Line Telecommunications
