Ticker,Company,Sector
AMC,AMC ENTERTAINMENT HOLDINGS INC CLA,Communication
OVV,OVINTIV INC,Energy
NTLA,INTELLIA THERAPEUTICS INC,Health Care
LSCC,LATTICE SEMICONDUCTOR CORP,Information Technology
TTEK,TETRA TECH INC,Industrials
ASAN,ASANA INC CLASS A,Information Technology
CROX,CROCS INC,Consumer Discretionary
SGMS,SCIENTIFIC GAMES CORP,Consumer Discretionary
BJ,BJS WHOLESALE CLUB HOLDINGS INC,Consumer Staples
APPS,DIGITAL TURBINE INC,Information Technology
CAR,AVIS BUDGET GROUP INC,Industrials
BHVN,BIOHAVEN PHARMACEUTICAL HOLDING CO,Health Care
PFGC,PERFORMANCE FOOD GROUP,Consumer Staples
EGP,EASTGROUP PROPERTIES REIT INC,Real Estate
GTLS,CHART INDUSTRIES INC,Industrials
STAG,STAG INDUSTRIAL REIT INC,Real Estate
OMCL,OMNICELL INC,Health Care
SWAV,SHOCKWAVE MEDICAL INC,Health Care
SAIA,SAIA INC,Industrials
UPWK,UPWORK INC,Industrials
WSC,WILLSCOT MOBILE MINI HOLDINGS CORP,Industrials
THC,TENET HEALTHCARE CORP,Health Care
M,MACYS INC,Consumer Discretionary
RPD,RAPID7 INC,Information Technology
INSP,INSPIRE MEDICAL SYSTEMS INC,Health Care
TXRH,TEXAS ROADHOUSE INC,Consumer Discretionary
BL,BLACKLINE INC,Information Technology
ARWR,ARROWHEAD PHARMACEUTICALS INC,Health Care
VRNS,VARONIS SYSTEMS INC,Information Technology
FOXF,FOX FACTORY HOLDING CORP,Consumer Discretionary
ASGN,ASGN INC,Industrials
EME,EMCOR GROUP INC,Industrials
SLAB,SILICON LABORATORIES INC,Information Technology
CHK,CHESAPEAKE ENERGY CORP,Energy
FFIN,FIRST FINANCIAL BANKSHARES INC,Financials
SYNA,SYNAPTICS INC,Information Technology
ROLL,RBC BEARINGS INC,Industrials
GBCI,GLACIER BANCORP INC,Financials
POWI,POWER INTEGRATIONS INC,Information Technology
KBR,KBR INC,Industrials
WK,WORKIVA INC CLASS A,Information Technology
EXPO,EXPONENT INC,Industrials
SPSC,SPS COMMERCE INC,Information Technology
AMN,AMN HEALTHCARE INC,Health Care
BPMC,BLUEPRINT MEDICINES CORP,Health Care
IIVI,II VI INC,Information Technology
NOVT,NOVANTA INC,Information Technology
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives
AR,ANTERO RESOURCES CORP,Energy
MSTR,MICROSTRATEGY INC CLASS A,Information Technology
IIPR,INNOVATIVE INDUSTRIAL PROPERTIES I,Real Estate
RRC,RANGE RESOURCES CORP,Energy
VLY,VALLEY NATIONAL,Financials
SSB,SOUTHSTATE CORP,Financials
STAA,STAAR SURGICAL,Health Care
AMBA,AMBARELLA INC,Information Technology
WCC,WESCO INTERNATIONAL INC,Industrials
NVTA,INVITAE CORP,Health Care
HELE,HELEN OF TROY LTD,Consumer Discretionary
MEDP,MEDPACE HOLDINGS INC,Health Care
HQY,HEALTHEQUITY INC,Health Care
ESNT,ESSENT GROUP LTD,Financials
CELH,CELSIUS HOLDINGS INC,Consumer Staples
GT,GOODYEAR TIRE & RUBBER,Consumer Discretionary
CIT,CIT GROUP INC,Financials
HALO,HALOZYME THERAPEUTICS INC,Health Care
SPT,SPROUT SOCIAL INC CLASS A,Information Technology
MMS,MAXIMUS INC,Information Technology
CHX,CHAMPIONX CORP,Energy
ALKS,ALKERMES,Health Care
HLI,HOULIHAN LOKEY INC CLASS A,Financials
BBIO,BRIDGEBIO PHARMA INC,Health Care
RDFN,REDFIN CORP,Real Estate
PDCE,PDC ENERGY INC,Energy
ZD,ZIFF DAVIS INC,Communication
BCPC,BALCHEM CORP,Materials
WING,WINGSTOP INC,Consumer Discretionary
SMTC,SEMTECH CORP,Information Technology
TWST,TWIST BIOSCIENCE CORP,Health Care
SSD,SIMPSON MANUFACTURING INC,Industrials
FATE,FATE THERAPEUTICS INC,Health Care
BXMT,BLACKSTONE MORTGAGE TRUST REIT CLA,Financials
PACB,PACIFIC BIOSCIENCES OF CALIFORNIA,Health Care
MTDR,MATADOR RESOURCES,Energy
HR,HEALTHCARE REALTY TRUST REIT INC,Real Estate
WTS,WATTS WATER TECHNOLOGIES INC CLASS,Industrials
ADC,AGREE REALTY REIT CORP,Real Estate
RHP,RYMAN HOSPITALITY PROPERTIES REIT,Real Estate
SIGI,SELECTIVE INSURANCE GROUP INC,Financials
NEO,NEOGENOMICS INC,Health Care
JBT,JOHN BEAN TECHNOLOGIES CORP,Industrials
EYE,NATIONAL VISION HOLDINGS INC,Consumer Discretionary
TRNO,TERRENO REALTY REIT CORP,Real Estate
NSA,NATIONAL STORAGE AFFILIATES TRUST,Real Estate
UBSI,UNITED BANKSHARES INC,Financials
IRDM,IRIDIUM COMMUNICATIONS INC,Communication
ETRN,EQUITRANS MIDSTREAM CORP,Energy
TENB,TENABLE HOLDINGS INC,Information Technology
RDN,RADIAN GROUP INC,Financials
HRI,HERC HOLDINGS INC,Industrials
UMBF,UMB FINANCIAL CORP,Financials
NEOG,NEOGEN CORP,Health Care
POR,PORTLAND GENERAL ELECTRIC,Utilities
AVNT,AVIENT CORP,Materials
UFPI,UFP INDUSTRIES INC,Industrials
BEAM,BEAM THERAPEUTICS INC,Health Care
LIVN,LIVANOVA PLC,Health Care
TGNA,TEGNA INC,Communication
AQUA,EVOQUA WATER TECHNOLOGIES CORP,Industrials
ZWS,ZURN WATER SOLUTIONS CORP,Industrials
NSP,INSPERITY INC,Industrials
MUR,MURPHY OIL CORP,Energy
HASI,HANNON ARMSTRONG SUSTAINABLE INFRA,Financials
PNM,PNM RESOURCES INC,Utilities
SIG,SIGNET JEWELERS LTD,Consumer Discretionary
DOCN,DIGITALOCEAN HOLDINGS INC,Information Technology
HWC,HANCOCK WHITNEY CORP,Financials
ADNT,ADIENT PLC,Consumer Discretionary
LHCG,LHC GROUP INC,Health Care
MC,MOELIS CLASS A,Financials
HGV,HILTON GRAND VACATIONS INC,Consumer Discretionary
PZZA,PAPA JOHNS INTERNATIONAL INC,Consumer Discretionary
TGTX,TG THERAPEUTICS INC,Health Care
ENV,ENVESTNET INC,Information Technology
KFY,KORN FERRY,Industrials
LTHM,LIVENT CORP,Materials
DNLI,DENALI THERAPEUTICS INC,Health Care
ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Discretionary
EXLS,EXLSERVICE HOLDINGS INC,Information Technology
SAIL,SAILPOINT TECHNOLOGIES HOLDINGS IN,Information Technology
QTWO,Q2 HOLDINGS INC,Information Technology
RLI,RLI CORP,Financials
TNET,TRINET GROUP INCINARY,Industrials
PRFT,PERFICIENT INC,Information Technology
ATKR,ATKORE INC,Industrials
BKH,BLACK HILLS CORP,Utilities
APG,API GROUP CORP,Industrials
NVRO,NEVRO CORP,Health Care
CNMD,CONMED CORP,Health Care
LXP,LEXINGTON REALTY TRUST REIT,Real Estate
BNL,BROADSTONE NET LEASE INC,Real Estate
DOC,PHYSICIANS REALTY TRUST REIT,Real Estate
MUSA,MURPHY USA INC,Consumer Discretionary
CMC,COMMERCIAL METALS,Materials
MARA,MARATHON DIGITAL HOLDINGS INC,Information Technology
SI,SILVERGATE CAPITAL CLASS A CORP,Financials
MATX,MATSON INC,Industrials
CWST,CASELLA WASTE SYSTEMS INC CLASS A,Industrials
SAFM,SANDERSON FARMS INC,Consumer Staples
MIME,MIMECAST LTD,Information Technology
SXT,SENSIENT TECHNOLOGIES CORP,Materials
ARNA,ARENA PHARMACEUTICALS INC,Health Care
ENSG,ENSIGN GROUP INC,Health Care
OUT,OUTFRONT MEDIA INC,Real Estate
SWX,SOUTHWEST GAS HOLDINGS INC,Utilities
