Ticker,Company
600000.SS,SHANGHAI PUDONG DEVELOPMENT BANK
600007.SS,CHINA WORLD TRADE CENTER
600008.SS,BEIJING CAPITAL ECO-ENV PROTECTION GP
600009.SS,SHANGHAI INTERNATIONAL AIRPORT
600010.SS,INNER MONGOLIA BAOTOU STEEL UNION
600011.SS,HUANENG POWER INTERNATIONAL
600012.SS,ANHUI EXPRESSWAY
600015.SS,HUA XIA BANK
600016.SS,CHINA MINSHENG BANKING
600018.SS,SHANGHAI INTERNATIONAL PORT
600019.SS,BAOSHAN IRON & STEEL
600020.SS,HENAN ZHONGYUAN EXPRESSWAY
600021.SS,SHANGHAI ELECTRIC POWER
600025.SS,HUANENG LANCANG RIVER HYDROPOWER
600026.SS,COSCO SHIPPING ENERGY TRANSPORTATION
600027.SS,HUADIAN POWER INTERNATIONAL
600028.SS,CHINA PETROLEUM AND CHEMICAL
600029.SS,CHINA SOUTHERN AIRLINES
600030.SS,CITIC SECURITIES
600031.SS,SANY HEAVY INDUSTRY
600036.SS,CHINA MERCHANTS BANK
600038.SS,AVICOPTER
600039.SS,SICHUAN ROAD & BRIDGE
600048.SS,POLY DEVELOPMENTS AND HOLDINGS GROUP
600050.SS,CHINA UNITED NETWORK COMMUNICATIONS
600056.SS,CHINA MEHECO
600057.SS,XIAMEN XIANGYU
600061.SS,SDIC CAPITAL
600062.SS,CHINA RESOURCES DOUBLE－CRANE PHARMACEUTICAL
600066.SS,YUTONG BUS
600070.SS,ZHEJIANG FURUN DIGITAL TECHNOLOGY
600072.SS,CSSC SCIENCE & TECHNOLOGY
600073.SS,SHANGHAI MALING AQUARIUS
600075.SS,XINJIANG TIANYE
600079.SS,HUMANWELL HEALTHCARE
600089.SS,TBEA
600094.SS,GREATTOWN HOLDINGS
600095.SS,XIANGCAI
600104.SS,SAIC MOTOR
600109.SS,SINOLINK SECURITIES
600111.SS,CHINA NORTHERN RARE EARTH (GROUP) HIGH-TECH
600115.SS,CHINA EASTERN AIRLINES
600118.SS,CHINA SPACESAT
600120.SS,ZHEJIANG ORIENT FINANCIAL HOLDINGS
600125.SS,CHINA RAILWAY TIELONG CONTAINER LGSTS
600131.SS,STATE GRID INFORMATION&COMMUNICATION
600132.SS,CHONG QING BREWERY
600141.SS,HUBEI XINGFA CHEMICALS
600143.SS,KINGFA SCI.&TECH.
600150.SS,CHINA CSSC HOLDINGS
600153.SS,XIAMEN C&D
600160.SS,ZHEJIANG JUHUA
600161.SS,BEIJING TIANTAN BIOLOGICAL PRODUCTS
600167.SS,LUENMEI QUANTUM
600170.SS,SHANGHAI CONSTRUCTION
600171.SS,SHANGHAI BELLING
600176.SS,CHINA JUSHI
600177.SS,YOUNGOR GROUP
600183.SS,SHENGYI TECHNOLOGY
600185.SS,GREE REAL ESTATE
600188.SS,YANZHOU COAL MINING
600196.SS,SHANGHAI FOSUN PHARMACEUTICAL
600197.SS,XINJIANG YILITE INDUSTRY
600206.SS,GRINM ADVANCED MATERIALS
600210.SS,SHANGHAI ZIJIANG ENTERPRISE
600211.SS,TIBET RHODIOLA PHARMACEUTICAL HOLDING
600216.SS,ZHEJIANG MEDICINE
600219.SS,SHANDONG NANSHAN ALUMINIUM
600223.SS,LUSHANG HEALTH INDUSTRY DEVELOPMENT
600233.SS,YTO EXPRESS GROUP
600236.SS,GUANGXI GUIGUAN ELECTRIC POWER
600252.SS,GUANGXI WUZHOU ZHONGHENG
600256.SS,GUANGHUI ENERGY
600258.SS,BTG HOTELS
600273.SS,ZHEJIANG JIAHUA ENERGY CHEMICAL INDUSTRY
600276.SS,JIANGSU HENGRUI MEDICINE
600282.SS,NANJING IRON AND STEEL
600284.SS,SHANGHAI PUDONG CONSTRUCTION
600285.SS,HENAN LINGRUI PHARMACEUTICAL
600295.SS,INNER MONGOLIA ERDOS RESOURCES
600298.SS,ANGEL YEAST
600299.SS,BLUESTAR ADISSEO
600305.SS,JIANGSHU HENGSHUN VINEGAR
600309.SS,WANHUA CHEMICAL
600315.SS,SHANGHAI JAHWA UNITED
600316.SS,JIANGXI HONGDU AVIATION INDUSTRY
600323.SS,GRANDBLUE ENVIRONMENT
600325.SS,HUAFA INDUSTRIAL
600326.SS,TIBET TIANLU
600329.SS,TIANJIN ZHONGXIN PHARMACEUTICAL
600332.SS,GUANGZHOU BAIYUNSHAN PHARMACEUTL HLDG
600337.SS,MARKOR INTERNATIONAL HOME FURNISHINGS
600338.SS,TIBET SUMMIT RESOURCES
600340.SS,CHINA FORTUNE LAND DEVELOPMENT
600346.SS,HENGLI PETROCHEMICAL
600348.SS,SHAN XI HUA YANG GROUP NEW ENERGY
600350.SS,SHANDONG HI-SPEED
600352.SS,ZHEJIANG LONGSHENG
600362.SS,JIANGXI COPPER
600363.SS,JIANXI LIANCHUANG OPTO-ELEC SCI&TECH
600368.SS,GUANGXI WUZHOU COMMUNICATIONS
600369.SS,SOUTHWEST SECURITIES
600372.SS,CHINA AVIONICS SYSTEMS
600373.SS,CHINESE UNIVERSE PUBLISHING AND MEDIA
600376.SS,BEIJING CAPITAL DEVELOPMENT
600377.SS,JIANGSU EXPRESSWAY
600378.SS,HAOHUA CHEMICAL SCIENCE & TECHNOLOGY
600380.SS,JOINCARE PHARMACEUTICAL GROUP INDUSTRY
600383.SS,GEMDALE
600388.SS,FUJIAN LONGKING
600392.SS,SHENGHE RESOURCES HOLDING
600395.SS,GUIZHOU PANJIANG REFINED COAL
600406.SS,NARI TECHNOLOGY
600409.SS,TANGSHAN SANYOU CHEMICAL INDUSTRIES
600415.SS,ZHEJIANG CHINA COMMODITIES CITY
600420.SS,SHANGHAI SHYNDEC PHARMACEUTICAL
600422.SS,KPC PHARMACEUTICALS
600426.SS,SHANDONG HUALU-HENGSHENG CHEMICAL
600436.SS,ZHANGZHOU PIENTZEHUANG PHARMACEUTICAL
600438.SS,TONGWEI
600446.SS,SHENZHEN KINGDOM SCI-TECH
600452.SS,CHONGQING FULING ELECTRIC POWER IND
600459.SS,SINO-PLATINUM METALS
600460.SS,HANGZHOU SILAN MICROELECTRONICS
600466.SS,SICHUAN LANGUANG DEVELOPMENT
600477.SS,HANGXIAO STEEL STRUCTURE
600483.SS,FUJIAN FUNENG
600486.SS,JIANGSU YANGNONG CHEMICAL
600487.SS,HENGTONG OPTIC-ELECTRIC
600489.SS,ZHONGJIN GOLD
600491.SS,LONG YUAN CONSTRUCTION
600498.SS,FIBERHOME TELECOMMUNICATION TECH
