Ticker,Company,Industry
200011.SZ,PRD-B,K Real Estate
200012.SZ,CSG-B,C Manufacturing
200016.SZ,KONKA GROUP-B,C Manufacturing
200017.SZ,CBC-B,C Manufacturing
200019.SZ,SHENLIANG-B,F Wholesale & Retail
200020.SZ,HUAFA-B,C Manufacturing
200025.SZ,TELLUS-B,F Wholesale & Retail
200026.SZ,FIYTA-B,F Wholesale & Retail
200028.SZ,ACCORD-B,F Wholesale & Retail
200029.SZ,SPG-B,K Real Estate
200030.SZ,FAWER-B,C Manufacturing
200037.SZ,NSRD-B,D Utilities
200045.SZ,STHC-B,C Manufacturing
200054.SZ,JSVS-B,C Manufacturing
200055.SZ,FANGDA-B,C Manufacturing
200056.SZ,WT-B,L Business Support
200058.SZ,SEGCL-B,L Business Support
200152.SZ,SD AIRLINES-B,G Transportation
200413.SZ,DONGXUB,C Manufacturing
200429.SZ,GPED-B,G Transportation
200468.SZ,NJ TEL-B,C Manufacturing
200488.SZ,SCPH-B,C Manufacturing
200505.SZ,JL-B,C Manufacturing
200512.SZ,TKC-B,C Manufacturing
200521.SZ,CHML-B,C Manufacturing
200530.SZ,BINGSHAN B,C Manufacturing
200539.SZ,GED-B,D Utilities
200541.SZ,FSL-B,C Manufacturing
200550.SZ,JMC-B,C Manufacturing
200553.SZ,ADAMA B,C Manufacturing
200570.SZ,CHANGCHAI-B,C Manufacturing
200581.SZ,WEIFU HIGH-TECH-B,C Manufacturing
200596.SZ,GUJING DISTILLERY-B,C Manufacturing
200613.SZ,DADONGHAI-B,H Hotels & Catering
200625.SZ,CHANGAN AUTOMOBILE-B,C Manufacturing
200706.SZ,WAZHOU ZWZ-B,C Manufacturing
200725.SZ,BOE-B,C Manufacturing
200726.SZ,LTTC-B,C Manufacturing
200761.SZ,BSP-B,C Manufacturing
200771.SZ,HTC-B,C Manufacturing
200869.SZ,CHANGYU-B,C Manufacturing
200992.SZ,SZOCEANIC-B,A Agriculture
201872.SZ,CM PORT GROUP B,G Transportation
300001.SZ,TGOOD ELECTRIC,C Manufacturing
300002.SZ,ULTRAPOWER,I IT
300003.SZ,LEPU MEDICAL,C Manufacturing
300004.SZ,NANFENG CORPORATION,C Manufacturing
300005.SZ,TOREAD,C Manufacturing
300006.SZ,LUMMY,C Manufacturing
300007.SZ,HANWEI ELECTRONICS,C Manufacturing
300008.SZ,BESTWAY,E Construction
300009.SZ,ANKEBIO,C Manufacturing
300010.SZ,DOUSHEN,I IT
300011.SZ,DINGHAN TECH,C Manufacturing
300012.SZ,CTI,M Research & Development
300013.SZ,XNWL,G Transportation
300014.SZ,EVE,C Manufacturing
300015.SZ,AIER EYE HOSPITAL,Q Public Health
300016.SZ,BEILU PHARMA,C Manufacturing
300017.SZ,WANGSU,I IT
300018.SZ,ZYGF,C Manufacturing
300019.SZ,GUIBAO,C Manufacturing
300020.SZ,ENJOYOR,I IT
300021.SZ,DAYU WATER-SAVING,C Manufacturing
300022.SZ,GIFORE,F Wholesale & Retail
300023.SZ,BODE,C Manufacturing
300024.SZ,ROBOT,C Manufacturing
300025.SZ,HUAXING CHUANGYE,I IT
300026.SZ,CHASE SUN PHARM.,C Manufacturing
300027.SZ,HBMC,R Media
300029.SZ,TLPE,C Manufacturing
300030.SZ,IMPROVE MEDICAL,C Manufacturing
300031.SZ,BOTON TECHNOLOGY,I IT
300032.SZ,JINLONG INC,C Manufacturing
300033.SZ,FLUSH INFO,J Finance
300034.SZ,CISRI-GAONA,C Manufacturing
300035.SZ,HNZK ELECTRIC,C Manufacturing
300036.SZ,SUPERMAP,I IT
300037.SZ,CAPCHEM,C Manufacturing
300038.SZ,SHUZHI,I IT
300039.SZ,SHANGHAI KAIBAO,C Manufacturing
300040.SZ,JZ GROUP,C Manufacturing
300041.SZ,HUITIAN NEW MATERIAL,C Manufacturing
300042.SZ,NETAC,C Manufacturing
300043.SZ,RASTAR,I IT
300044.SZ,SUNWIN,I IT
300045.SZ,HWA CREATE,C Manufacturing
300046.SZ,TECHSEM,C Manufacturing
300047.SZ,TYDIC,I IT
300048.SZ,HICONICS,C Manufacturing
300049.SZ,"FREE CO., LTD",C Manufacturing
300050.SZ,DINGLI COMM,I IT
300051.SZ,35.COM,I IT
300052.SZ,ZQGAME,I IT
300053.SZ,OBT,C Manufacturing
300054.SZ,DING LONG,C Manufacturing
300055.SZ,WBD,E Construction
300056.SZ,ZHONGCHUANG,C Manufacturing
300057.SZ,WANSHUN NEW MATERIAL,C Manufacturing
300058.SZ,BLUEFOCUS,L Business Support
300059.SZ,EASTMONEY,J Finance
300061.SZ,QITIAN TECHNOLOGY,L Business Support
300062.SZ,CEE,C Manufacturing
300063.SZ,TLJT,L Business Support
300064.SZ,SC DIAMOND,C Manufacturing
300065.SZ,HLX,C Manufacturing
300066.SZ,SANCHUAN  WISDOM,C Manufacturing
300067.SZ,ANOKY,C Manufacturing
300068.SZ,NARADA POWER SOURCE,C Manufacturing
300069.SZ,JINLIHUA ELECTRIC,C Manufacturing
300070.SZ,BOW,N Environmental Protection
300071.SZ,SPEARHEAD,L Business Support
300072.SZ,SJEP,C Manufacturing
300073.SZ,EASPRING,C Manufacturing
300074.SZ,AVCON,I IT
300075.SZ,EGOVA,I IT
300076.SZ,GQY,C Manufacturing
300077.SZ,NATIONZ,C Manufacturing
300078.SZ,CENTURY,C Manufacturing
300079.SZ,SUMAVISION,C Manufacturing
300080.SZ,YCXN,C Manufacturing
300081.SZ,HXDF,M Research & Development
300082.SZ,OXIRANCHEM,C Manufacturing
300083.SZ,CREATE CENTURY,C Manufacturing
300084.SZ,HAIMO,B Mining
300085.SZ,INFOGEM,I IT
300086.SZ,HONZ,C Manufacturing
300087.SZ,WINALL HI-TECH,A Agriculture
300088.SZ,TOKEN SCI,C Manufacturing
