Ticker,Company
6790.TW,YFYCPG
2753.TW,8way
2250.TW,IKKA Holdings (Cayman) Ltd.
3092.TW,HOTRON¡@
6768.TW,"Sports Gear Co., Ltd."
2211.TW,EGST
6776.TW,Weblink
6426.TW,APOGEE
6781.TW,AES-KY
6515.TW,WinWay
6438.TW,SAA
3714.TW,ENNOSTAR
6756.TW,VLI
1597.TW,cpc
6743.TW,AMPACS
3138.TW,Auden
1342.TW,CCI Yilan
2247.TW,PGUM
2241.TW,Amulaire
6754.TW,Rich Honour
6598.TW,ABC-KY
5546.TW,Yonggu Group Inc.
3543.TW,JOCHU
4581.TW,World Known MFG (Cayman) Limited
6706.TW,FitTech
1795.TW,Lotus Pharm
6715.TW,Lintes
6592.TW,HOTAI FINANCE
4439.TW,TST Group Holding Ltd.
6698.TW,FINEMAT
6491.TW,PEGAVISION
4571.TW,Khgears International Limited
2233.TW,TURVO
4572.TW,DPI
4576.TW,HMC
5283.TW,Heran
6672.TW,"Ventec International Group Co., Ltd"
3563.TW,MACHVISION
6669.TW,Wiwynn
8462.TW,Fitness Factory
4564.TW,MOSA
8104.TW,RiTdisplay
4967.TW,TEAM
1341.TW,"Fulin Plastic Industry (Cayman) Holding Co., Ltd."
6670.TW,FSP
6668.TW,Zhong Yang
6671.TW,"San Neng Group Holdings Co., LTD."
6558.TW,SYNST
6655.TW,KD
4766.TW,NAN PAO
6674.TW,CBN
6666.TW,"Luo Lih-Fen Holding Co., Ltd."
5876.TW,SCSB
4961.TW,FITIPOWER
3712.TW,FIT
6641.TW,"GSD Technologies Co., Ltd."
8367.TW,CS
8482.TW,Shane Global Holding Inc.
4540.TW,TBI MOTION
3530.TW,SOI
8028.TW,PSI
4989.TW,LCYT
6288.TW,EOI
3711.TW,ASEH
6416.TW,CASWELL
1587.TW,CM
8497.TW,UA
2630.TW,AACL
6625.TW,Binlive
4566.TW,GLOBAL TEK
6581.TW,TSU
1760.TW,PBF
2939.TW,Kayee International
4764.TW,DBC
6591.TW,SUN MAX TECH LIMITED
8478.TW,OceanAlexander
4155.TW,OK BIOTECH
8499.TW,Top Bright
6541.TW,"Tanvex BioPharma, Inc."
6024.TW,CFC
2243.TW,HS
6573.TW,HY-KY
4739.TW,COREMAX
6579.TW,AAEON
4562.TW,YHT
4807.TW,RGH
6582.TW,Shin Foong
4148.TW,All Cosmos Bio-Tech Holding Corporation
4560.TW,STRONG H
2897.TW,IBT
6533.TW,ANDES
5284.TW,jpp
8481.TW,Transart
8480.TW,Taisun
6552.TW,JMC
5258.TW,Castles
2636.TW,T3EX
3346.TW,Laster Tech
8488.TW,Jiyuan Packaging Holdings Limited
2748.TW,FDC
4943.TW,CONCRAFT
8442.TW,WW Holding Inc.
8466.TW,M. J. International
2633.TW,THSRC
4438.TW,QVE
2936.TW,COASTER
1598.TW,Dyaco
8473.TW,FOREST WATER
3708.TW,Swancor
4552.TW,Lida Holdings Limited
6477.TW,Anji
6531.TW,AP Memory
2739.TW,MHH
3528.TW,ANSTEK
1776.TW,Headway
6525.TW,"GEM Services, Inc."
2069.TW,YC
1256.TW,"Sunjuice Holdings Co., Ltd."
2239.TW,Cayman Engley Industrial
4545.TW,MAP
