Company,Ticker,Sector
Toyota Motor Corporation,7203.T,Consumer Discretionary
Keyence Corporation,6861.T,Information Technology
Sony Corporation,6758.T,Consumer Discretionary
"NTT DOCOMO, INC",9437.T,Communication Services
"Recruit Holdings Co., Ltd",6098.T,Industrials
Nippon Telegraph and Telephone Corporation,9432.T,Communication Services
SoftBank Group Corp,9984.T,Communication Services
"Mitsubishi UFJ Financial Group, Inc",8306.T,Financials
KDDI Corporation,9433.T,Communication Services
"Shin-Etsu Chemical Co., Ltd",4063.T,Materials
"Fast Retailing Co., Ltd",9983.T,Consumer Discretionary
Tokyo Electron Limited,8035.T,Information Technology
"Daikin Industries,Ltd",6367.T,Industrials
Softbank Corp,9434.T,Communication Services
Nidec Corporation,6594.T,Industrials
"Chugai Pharmaceutical Co., Ltd",4519.T,Health Care
"Hitachi, Ltd",6501.T,Industrials
HOYA Corporation,7741.T,Health Care
"Nintendo Co., Ltd",7974.T,Communication Services
"Honda Motor Co., Ltd",7267.T,Consumer Discretionary
"Oriental Land Co., Ltd",4661.T,Consumer Discretionary
DENSO Corporation,6902.T,Consumer Discretionary
"Murata Manufacturing Co., Ltd",6981.T,Information Technology
Mitsubishi Corporation,8058.T,Industrials
"Sumitomo Mitsui Financial Group, Inc",8316.T,Financials
Yahoo Japan Corporation,4689.T,Communication Services
Takeda Pharmaceutical Company Limited,4502.T,Health Care
"Daiichi Sankyo Company, Limited",4568.T,Health Care
ITOCHU Corporation,8001.T,Industrials
"M3, Inc",2413.T,Health Care
Fanuc Corporation,6954.T,Industrials
"Mitsui & Co., Ltd",8031.T,Industrials
"Tokio Marine Holdings, Inc",8766.T,Financials
"Seven & i Holdings Co., Ltd",3382.T,Consumer Staples
SMC Corporation,6273.T,Industrials
"Mizuho Financial Group, Inc",8411.T,Financials
Japan Tobacco Inc,2914.T,Consumer Staples
Fujitsu Limited,6702.T,Information Technology
Terumo Corporation,4543.T,Health Care
Bridgestone Corporation,5108.T,Consumer Discretionary
Astellas Pharma Inc,4503.T,Health Care
"JAPAN POST BANK Co.,Ltd",7182.T,Financials
FUJIFILM Holdings Corporation,4901.T,Information Technology
"Japan Post Holdings Co., Ltd",6178.T,Financials
Central Japan Railway Company,9022.T,Industrials
Mitsubishi Electric Corporation,6503.T,Industrials
Panasonic Corporation,6752.T,Consumer Discretionary
Kao Corporation,4452.T,Consumer Staples
Olympus Corporation,7733.T,Health Care
NTT DATA Corporation,9613.T,Information Technology
"Shiseido Company, Limited",4911.T,Consumer Staples
Canon Inc,7751.T,Information Technology
Sysmex Corporation,6869.T,Health Care
Toyota Industries Corporation,6201.T,Consumer Discretionary
Shimano Inc,7309.T,Consumer Discretionary
Kubota Corporation,6326.T,Industrials
East Japan Railway Company,9020.T,Industrials
"Nippon Paint Holdings Co., Ltd",4612.T,Materials
"Asahi Group Holdings, Ltd",2502.T,Consumer Staples
Unicharm Corporation,8113.T,Consumer Staples
"Dai-ichi Life Holdings, Inc",8750.T,Financials
"Otsuka Holdings Co., Ltd",4578.T,Health Care
ORIX Corporation,8591.T,Financials
Komatsu Ltd,6301.T,Industrials
Renesas Electronics Corporation,6723.T,Information Technology
