Ticker,Company,Sector
AAG.V,Aftermath Silver Ltd,
AAU.V,Angold Resources Ltd,
AAV.TO,Advantage Oil & Gas Ltd.,"Energy, Oil and Gas"
ABR.V,Arbor Metals Corp,
ABRA.V,Abrasilver Resource Corp,
ABST.TO,Absolute Software Corp,"Software, Internet, Technology"
ABX.TO,Barrick Gold Corp.,
ABXX.NE,Abaxx Technologies Inc,
AC.TO,Air Canada Inc.,
ACB.TO,Aurora Cannabis Inc,
ACDCCSE,Extreme Vehicle Battery Technologies Corp,
ACO-X.TO,Atco Ltd. (Class I),"Energy, Oil and Gas, Utilities"
ACOG.V,Alpha Cognition Inc,
ACQ.TO,AutoCanada Inc,"Transportation, Automotive"
ACST.V,Acasti Pharma Inc (Class A),"Manufacturing, Healthcare, Pharmaceuticals"
ACU.V,Aurora Solar Technologies Inc,
AD-UN.TO,Alaris Equity Partners Income Trust,
ADCO.TO,Adcore Inc,
ADK.V,Diagnos Inc.,
ADW-A.TO,Andrew Peller Limited (Class A),"Food, Alcohol and Tobacco, Consumer Products"
ADZN.V,Adventus Mining Corporation,
AEM.TO,Agnico Eagle Mines Ltd,"Mining, Materials"
AEX.V,AEX Gold Inc,
AEZS.TO,Aeterna Zentaris Inc.,"Manufacturing, Healthcare, Biotechnology"
AFM.V,Alphamin Resources Corp,
AFN.TO,Ag Growth International Inc,"Manufacturing, Machinery, Engineering"
AGF-B.TO,AGF Management Ltd. (Class B),Finance
AGI.TO,Alamos Gold Inc. (Class A),"Mining, Materials"
AH.TO,Aleafia Health Inc.,"Manufacturing, Cannabis, Healthcare"
AHC.TO,Apollo Healthcare Corp (Class B),
AI.TO,Atrium Mortgage Investment Corp,Finance
AIF.TO,Altus Group Ltd.,"Consulting, Real Estate, Software, Technology"
AII.TO,Almonty Industries Inc,"Mining, Materials"
AIM.TO,Aimia Inc,"Finance, Retail"
AKT-A.TO,Akita Drilling Ltd. (Class A),"Oil and Gas, Construction"
ALA.TO,AltaGas Ltd,"Energy, Oil and Gas"
ALS.TO,Altius Minerals Corp.,"Mining, Materials"
ALV.V,Alvopetro Energy Ltd,
ALY.V,AnalytixInsight Inc,
ALYA.TO,Alithya Group inc (Class A),
AMC.V,Arizona Metals Corp,
AMK.V,American Creek Resources Ltd- New,
AMM.TO,Almaden Minerals Ltd,"Mining, Materials"
AMX.V,Amex Exploration Inc.,"Mining, Materials"
AMY.V,American Manganese Inc,
AND.TO,Andlauer Healthcare Group Inc,
ANX.TO,Anaconda Mining Inc,
AOI.TO,Africa Oil Corp,"Energy, Oil and Gas"
AOT.TO,Ascot Resources Ltd.,"Mining, Materials"
AP-UN.TO,Allied Properties Real Estate Investment Trust,"Real Estate, Finance"
APGO.V,Apollo Gold & Silver Corp,
APHA.TO,Aphria Inc,"Manufacturing, Cannabis, Healthcare, Pharmaceuticals"
APLI.TO,Appili Therapeutics Inc,
APM.V,Andean Precious Metals Corp,
APR-UN.TO,Automotive Properties Real Estate Investment Trust,"Real Estate, Finance"
APS.TO,Aptose Biosciences Inc,
AQN.TO,Algonquin Power & Utilities Corp,"Energy, Utilities"
AQUA.V,Aquarius AI Inc,
AR.TO,Argonaut Gold Inc,"Mining, Materials"
ARE.TO,Aecon Group Inc.,"Construction, Engineering"
ARG.TO,Amerigo Resources Ltd,"Mining, Materials"
ARIS.TO,Aris Gold Corp,
ARR.TO,Altius Renewable Royalties Corp.,
ARS.V,Ares Strategic Mining Inc,
ART.V,Arht Media Inc,
ARTG.V,Artemis Gold Inc,
ARU.V,Aurania Resources Ltd,
ARX.TO,ARC Resources Ltd,"Energy, Oil and Gas"
ASM.TO,Avino Silver & Gold Mines Ltd.,"Mining, Materials"
AT.TO,AcuityAds Holdings Inc,"Advertising and Marketing, Software, Internet, Technology"
ATA.TO,"ATS Automation Tooling Systems, Inc.","Manufacturing, Machinery, Engineering"
ATD-B.TO,"Alimentation-Couche Tard, Inc. (Class B)",
ATE.TO,Antibe Therapeutics Inc Common New,
ATH.TO,Athabasca Oil Corp,"Energy, Oil and Gas"
ATP.TO,Atlantic Power Corp.,"Energy, Utilities"
ATY.V,Atico Mining Corp,
ATZ.TO,Aritzia Inc,"Apparel and Footwear, Retail, Fashion and Jewelry, Consumer Products"
AUAU.V,Allegiant Gold Ltd,"Mining, Materials"
AUMB.V,1911 Gold Corporation,
AUMN.TO,Golden Minerals Co,
AUN.V,Aurcana Silver Corp,"Mining, Materials"
AUP.TO,Aurinia Pharmaceuticals Inc,
AUX.V,AUX Resources Corporation,
AVCN.TO,Avicanna Inc,
AVCR.V,Avricore Health Inc.,
AVN.V,Avanti Energy Inc,
AX-UN.TO,Artis Real Estate Investment Trust,"Real Estate, Finance, Banking"
AXU.TO,Alexco Resource Corp,"Consulting, Mining, Materials"
AYA.TO,Aya Gold & Silver Inc,
AZ.V,A2Z Smart Technologies Corp.,
AZM.V,Azimut Exploration Inc,"Mining, Materials"
AZT.V,Aztec Minerals Corp,
BABY.V,Else Nutrition Holdings Inc,
BAD.TO,Badger Daylighting Ltd,"Construction, Engineering"
BAM-A.TO,Brookfield Asset Management Inc. (Class A),Finance
BB.TO,BlackBerry Ltd,"Mobile, Software, Internet, Technology"
BBB.V,Brixton Metals Corporation,
BBD-A.TO,Bombardier Inc. (Class A),
