Ticker,Name,Description,Mrkt Cap,Sector
A,Agilent Technologies,Life Sciences Tools & Services,48.21B,Healthcare
AA,Alcoa,Metals & Mining,11.15B,Materials
AAC,Ares Acquisition,Blank Check / SPAC,1.22B,SPAC
AACG,ATA Creativity Global,Diversified Consumer Services,33.59M,Discretionary
AACI,Armada Acquisition I,Blank Check / SPAC,202.75M,SPAC
AADI,Aadi Bioscience,Biotechnology,504.59M,Healthcare
AAIC,Arlington Asset Investment,Mortgage Real Estate Investment Trus...,110.18M,Real Estate
AAL,American Airlines Group,Airlines,11.63B,Industrial
AAMC,Altisource Asset Management,Real Estate Management & Development,36.79M,Real Estate
AAME,Atlantic American,Insurance,49.93M,Financials
AAN,The Aaron's Company,Specialty Retail,776.06M,Discretionary
AAOI,Applied Optoelectronics,Communications Equipment,140.31M,Industrial
AAON,"AAON, Inc.",Building Products,4.16B,Industrial
AAP,Advance Auto Parts,Specialty Retail,14.96B,Discretionary
AAPL,Apple,"Technology Hardware, Storage & Periph...","2,913.28B",Information Technology
AAQC,Accelerate Acquisition,Blank Check / SPAC,486.00M,SPAC
AAT,American Assets Trust,Equity Real Estate Investment Trusts...,2.27B,Real Estate
AATC,Autoscope Technologies,Scientific & Technical Instruments,33.79M,Industrials
AAU,Almaden Minerals,Metals & Mining,41.43M,Materials
AAWW,Atlas Air Worldwide Holdings,Air Freight & Logistics,2.73B,Industrial
AB,AllianceBernstein Holding,Capital Markets,4.82B,Financials
ABB,ABB Ltd,Electrical Equipment,76.09B,Industrial
ABBV,AbbVie,Biotechnology,239.37B,Healthcare
ABC,AmerisourceBergen,Health Care Providers & Services,27.66B,Healthcare
ABCB,Ameris Bancorp,Banks,3.46B,Financials
ABCL,AbCellera Biologics,Biotechnology,4.03B,Healthcare
ABCM,Abcam,Biotechnology,5.39B,Healthcare
ABEO,Abeona Therapeutics,Biotechnology,49.41M,Healthcare
ABEV,Ambev,Beverages,44.07B,Discretionary
ABG,Asbury Automotive Group,Specialty Retail,4.00B,Discretionary
ABGI,ABG Acquisition I,Blank Check / SPAC,189.07M,SPAC
ABIO,ARCA biopharma,Biotechnology,30.98M,Healthcare
ABM,ABM Industries,Commercial Services & Supplies,2.75B,Industrial
ABMD,Abiomed,Health Care Equipment & Supplies,16.34B,Healthcare
ABNB,Airbnb,"Hotels, Restaurants & Leisure",105.79B,Discretionary
ABOS,Acumen Pharmaceuticals,Biotechnology,273.58M,Healthcare
ABR,Arbor Realty Trust,Mortgage Real Estate Investment Trus...,2.76B,Real Estate
ABSI,Absci,Biotechnology,759.25M,Healthcare
ABST,Absolute Software,Software-Application,468.81M,Information Technology
ABT,Abbott Laboratories,Health Care Equipment & Supplies,248.87B,Healthcare
ABTX,Allegiance Bancshares,Banks,854.78M,Financials
