Symbol,Company,Sector
14D.AX,1414 Degrees Ltd,Industrials
1ST.AX,1ST Group Ltd,Health Care
3PL.AX,3P Learning Ltd,Consumer Discretionary
4DS.AX,4DS Memory Ltd,Information Technology
5GN.AX,5G Networks Ltd,
88E.AX,88 Energy Ltd,Energy
8CO.AX,8COMMON Ltd,Information Technology
8IH.AX,8I Holdings Ltd,Financials
8EC.AX,8IP Emerging Companies Ltd,
8VI.AX,8VIC Holdings Ltd,Consumer Discretionary
9SP.AX,9 Spokes International Ltd,Information Technology
ACB.AX,A-Cap Energy Ltd,Energy
A2B.AX,A2B Australia Ltd,Industrials
ABP.AX,Abacus Property Group,Real Estate
ABL.AX,Abilene Oil and Gas Ltd,Energy
AEG.AX,Absolute Equity Performance Fund Ltd,
ABT.AX,Abundant Produce Ltd,Consumer Staples
ACS.AX,Accent Resources NL,Materials
ACQ.AX,Acorn Capital Investment Fund Ltd,
ACF.AX,Acrow Formwork and Construction Services Ltd,Industrials
ACR.AX,ACRUX Ltd,Health Care
ACW.AX,Actinogen Medical Ltd,Health Care
ACU.AX,Acumentis Group Ltd,Real Estate
AD1.AX,AD1 Holdings Ltd,Communication Services
ADA.AX,Adacel Technologies Ltd,Information Technology
ADH.AX,Adairs Ltd,Consumer Discretionary
1AD.AX,Adalta Ltd,Health Care
ADD.AX,Adavale Resources Ltd,Energy
ABC.AX,Adelaide Brighton Ltd,Materials
ADR.AX,Adherium Ltd,Health Care
AHZ.AX,Admedus Ltd,Health Care
ADY.AX,Admiralty Resources NL,Materials
ADT.AX,Adriatic Metals Plc,Materials
ADJ.AX,Adslot Ltd,Information Technology
ABV.AX,Advanced Braking Technology Ltd,Consumer Discretionary
ADX.AX,ADX Energy Ltd,Energy
AER.AX,Aeeris Ltd,Communication Services
AEI.AX,Aeris Environmental Ltd,Industrials
AFL.AX,Af Legal Group Ltd,Industrials
AEB.AX,Affinity Energy and Health Ltd,Health Care
AFR.AX,African Energy Resources Ltd,Energy
A1G.AX,African Gold Ltd,Materials
AFT.AX,AFT Corporation Ltd,Information Technology
AFP.AX,Aft Pharmaceuticals Ltd,Health Care
AGL.AX,AGL Energy Ltd,Utilities
AGJ.AX,Agricultural Land Trust,Real Estate
AGR.AX,Aguia Resources Ltd,Materials
AHL.AX,Ahalife Holdings Ltd,Consumer Discretionary
A1M.AX,Aic Mines Ltd,Materials
AGI.AX,Ainsworth Game Technology Ltd,Consumer Discretionary
A40.AX,Alita Resources Ltd,Materials
AHQ.AX,Allegiance Coal Ltd,Materials
AGS.AX,Alliance Resources Ltd,Materials
AGE.AX,Alligator Energy Ltd,Energy
A4N.AX,Alpha Hpa Ltd,Materials
